# timestamp tx ty tz psi
0.0 0.0 0.0 2 0
0.005 1.5624997966590115e-06 0.002499999348958384 2 0
0.01 6.249996744811526e-06 0.004999994791668294 2 0
0.015 1.4062483520538294e-05 0.007499982421887359 2 0
0.02 2.4999947916715115e-05 0.009999958333385416 2 0
0.025 3.906237284367897e-05 0.012499918619950612 2 0
0.03 5.6249736328561895e-05 0.014999859375395507 2 0
0.035 7.656201151662323e-05 0.01749977669356318 2 0
0.04 9.999916666947328e-05 0.01999966666833333 2 0
0.045 0.00012656116516684968 0.02249952539362838 2 0
0.05 0.00015624796550528508 0.024999348963419578 2 0
0.055 0.00018905952129966153 0.027499133471733106 2 0
0.06 0.0002249957812816561 0.02999887501265618 2 0
0.065 0.00026405668930085113 0.032498569680343155 2 0
0.07 0.0003062421843245122 0.034998213569021615 2 0
0.075 0.00035155220043803226 0.03749780277299849 2 0
0.08 0.00039998666684448736 0.03999733338666616 2 0
0.085 0.0004515455078648589 0.042496801504508554 2 0
0.09 0.0005062286429384777 0.044996203221107235 2 0
0.095 0.0005640359866232458 0.04749553463114755 2 0
0.1 0.0006249674485947487 0.049994791829424665 2 0
0.105 0.0006890229336480314 0.05249397091084971 2 0
0.11 0.000756202341696266 0.054993067970455896 2 0
0.115 0.0008265055677714184 0.05749207910340456 2 0
0.12 0.0008999325020249138 0.05999100040499132 2 0
0.125 0.0009764830297271931 0.06248982797065216 2 0
0.13 0.0010561570312681567 0.06498855789596951 2 0
0.135 0.0011389543821569426 0.06748718627667837 2 0
0.14 0.0012248749530228142 0.06998570920867239 2 0
0.145 0.0013139186096149391 0.07248412278801 2 0
0.15 0.0014060852128026102 0.07498242311092053 2 0
0.155 0.0015013746185756904 0.07748060627381019 2 0
0.16 0.0015997866780441683 0.07997866837326832 2 0
0.165 0.0017013212374392683 0.08247660550607339 2 0
0.17 0.001805978138113673 0.08497441376919912 2 0
0.17500000000000002 0.0019137572165404126 0.08747208925982064 2 0
0.18 0.0020246583043150856 0.08996962807532047 2 0
0.185 0.0021386812281547485 0.09246702631329475 2 0
0.19 0.0022558258098985817 0.09496428007155923 2 0
0.195 0.002376091866508112 0.09746138544815541 2 0
0.2 0.0024994792100674346 0.09995833854135666 2 0
0.20500000000000002 0.0026259876477843225 0.10245513544967429 2 0
0.21 0.0027556169819891174 0.10495177227186359 2 0
0.215 0.0028883670101360615 0.10744824510693009 2 0
0.22 0.003024237524803075 0.10994455005413546 2 0
0.225 0.0031632283136928674 0.11244068321300375 2 0
0.23 0.003305339159632048 0.1149366406833274 2 0
0.23500000000000001 0.0034505698405726815 0.11743241856517336 2 0
0.24 0.0035989201295916207 0.11992801295888919 2 0
0.245 0.0037503897948918397 0.12242341996510919 2 0
0.25 0.003904978599801767 0.1249186356847604 2 0
0.255 0.004062686302776397 0.12741365621906875 2 0
0.26 0.004223512657397732 0.1299084776695652 2 0
0.265 0.0043874574123745624 0.13240309613809173 2 0
0.27 0.004554520311543131 0.13489750772680745 2 0
0.275 0.004724701093867578 0.13739170853819482 2 0
0.28 0.00489799949344083 0.13988569467506554 2 0
0.28500000000000003 0.0050744152394839315 0.1423794622405668 2 0
0.29 0.0052539480563473795 0.14487300733818723 2 0
0.295 0.005436597663511122 0.1473663260717632 2 0
0.3 0.005622363775585004 0.14985941454548468 2 0
0.305 0.005811246102310097 0.1523522688639014 2 0
0.31 0.006003244348557146 0.15484488513192904 2 0
0.315 0.006198358214329458 0.15733725945485516 2 0
0.32 0.006396587394761122 0.1598293879383454 2 0
0.325 0.006597931580119676 0.16232126668844946 2 0
0.33 0.006802390455804552 0.16481289181160738 2 0
0.335 0.007009963702348632 0.16730425941465538 2 0
0.34 0.007220650995419131 0.16979536560483205 2 0
0.34500000000000003 0.007434452005816938 0.17228620648978454 2 0
0.35000000000000003 0.0076513663994779435 0.17477677817757442 2 0
0.355 0.007871393837473928 0.17726707677668394 2 0
0.36 0.008094533976011453 0.17975709839602208 2 0
0.365 0.008320786466434527 0.18224683914493056 2 0
0.37 0.00855015095522349 0.18473629513318995 2 0
0.375 0.008782627083996575 0.18722546247102578 2 0
0.38 0.009018214489509457 0.1897143372691146 2 0
0.385 0.009256912803657258 0.19220291563859002 2 0
0.39 0.009498721653473874 0.19469119369104887 2 0
0.395 0.009743640661132869 0.19717916753855716 2 0
0.4 0.009991669443948359 0.1996668332936563 2 0
0.405 0.010242807614375682 0.20215418706936905 2 0
0.41000000000000003 0.010497054780011172 0.20464122497920564 2 0
0.41500000000000004 0.010754410543593718 0.20712794313716984 2 0
0.42 0.011014874503005201 0.20961433765776497 2 0
0.425 0.011278446251270502 0.2121004046560002 2 0
0.43 0.011545125376558829 0.2145861402473963 2 0
0.435 0.011814911462184385 0.21707154054799194 2 0
0.44 0.012087804086606369 0.21955660167434962 2 0
0.445 0.01236380282342986 0.22204131974356187 2 0
0.45 0.012642907241407153 0.22452569087325716 2 0
0.455 0.012925116904437317 0.22700971118160618 2 0
0.46 0.01321043137156841 0.22949337678732765 2 0
0.465 0.013498850196995926 0.23197668380969455 2 0
0.47000000000000003 0.01379037293006613 0.23445962836854023 2 0
0.47500000000000003 0.014084999115274277 0.23694220658426426 2 0
0.48 0.0143827282922675 0.23942441457783872 2 0
0.485 0.014683559995843698 0.2419062484708141 2 0
0.49 0.01498749375595354 0.24438770438532548 2 0
0.495 0.01529452909770046 0.2468687784440985 2 0
0.5 0.015604665541341989 0.24934946677045539 2 0
0.505 0.015917902602289757 0.2518297654883212 2 0
0.51 0.01623423979111105 0.25430967072222965 2 0
0.515 0.016553676613529023 0.25678917859732936 2 0
0.52 0.01687621257042382 0.2592682852393897 2 0
0.525 0.01720184715783324 0.2617469867748072 2 0
0.53 0.017530579866952722 0.264225279330611 2 0
0.535 0.017862410184138033 0.26670315903446973 2 0
0.54 0.01819733759090414 0.2691806220146966 2 0
0.545 0.01853536156392699 0.27165766440025646 2 0
0.55 0.01887648157504418 0.27413428232077086 2 0
0.555 0.019220697091256067 0.276610471906525 2 0
0.56 0.019568007574725765 0.279086229288473 2 0
0.5650000000000001 0.01991841248278048 0.2815615505982445 2 0
0.5700000000000001 0.020271911267913056 0.28403643196815054 2 0
0.5750000000000001 0.020628503377781326 0.28651086953118937 2 0
0.58 0.020988188255210538 0.2889848594210528 2 0
0.585 0.021350965338192696 0.2914583977721322 2 0
0.59 0.021716834059889223 0.29393148071952446 2 0
0.595 0.022085793848630075 0.29640410439903786 2 0
0.6 0.022457844127915516 0.29887626494719843 2 0
0.605 0.022832984316417004 0.30134795850125584 2 0
0.61 0.023211213827978527 0.3038191811991894 2 0
0.615 0.023592532071616157 0.30628992917971415 2 0
0.62 0.02397693845152027 0.3087601985822868 2 0
0.625 0.02436443236705621 0.31122998554711206 2 0
0.63 0.0247550132127643 0.31369928621514825 2 0
0.635 0.02514868037836271 0.31616809672811347 2 0
0.64 0.02554543324874614 0.31863641322849195 2 0
0.645 0.025945271203988263 0.3211042318595395 2 0
0.65 0.02634819361934282 0.3235715487652902 2 0
0.655 0.026754199865242967 0.3260383600905617 2 0
0.66 0.027163289307304606 0.32850466198096195 2 0
0.665 0.027575461306325266 0.33097045058289465 2 0
0.67 0.027990715218286333 0.3334357220435657 2 0
0.675 0.028409050394353708 0.33590047251098887 2 0
0.68 0.028830466180878478 0.33836469813399206 2 0
0.685 0.029254961919399136 0.34082839506222323 2 0
0.6900000000000001 0.029682536946640692 0.3432915594461565 2 0
0.6950000000000001 0.030113190594517336 0.345754187437098 2 0
0.7000000000000001 0.030546922190133108 0.34821627518719195 2 0
0.705 0.030983731055782116 0.35067781884942667 2 0
0.71 0.03142361650895076 0.3531388145776409 2 0
0.715 0.03186657786231817 0.3555992585265292 2 0
0.72 0.0323126144237571 0.35805914685164836 2 0
0.725 0.032761725496335936 0.3605184757094234 2 0
0.73 0.03321391037831822 0.3629772412571535 2 0
0.735 0.03366916836316536 0.365435439653018 2 0
0.74 0.03412749873953702 0.36789306705608243 2 0
0.745 0.03458890079129184 0.3703501196263044 2 0
0.75 0.03505337379748941 0.37280659352453976 2 0
0.755 0.035520917032390686 0.37526248491254866 2 0
0.76 0.035991529765459385 0.37771778995300115 2 0
0.765 0.03646521126136326 0.3801725048094837 2 0
0.77 0.036941960779975025 0.3826266256465049 2 0
0.775 0.03742177757637366 0.38508014862950135 2 0
0.78 0.037904660900845544 0.3875330699248439 2 0
0.785 0.03839060999888555 0.3899853856998435 2 0
0.79 0.038879624111198385 0.3924370921227573 2 0
0.795 0.03937170247369948 0.3948881853627945 2 0
0.8 0.03986684431751675 0.39733866159012243 2 0
0.805 0.04036504886899084 0.3997885169758725 2 0
0.81 0.04086631534967755 0.4022377476921461 2 0
0.8150000000000001 0.04137064297634763 0.40468634991202074 2 0
0.8200000000000001 0.041878030960989854 0.407134319809556 2 0
0.8250000000000001 0.04238847851081018 0.40958165355979936 2 0
0.8300000000000001 0.042901984828234596 0.4120283473387924 2 0
0.835 0.04341854911090959 0.4144743973235765 2 0
0.84 0.04393817055170346 0.4169197996921991 2 0
0.845 0.04446084833870789 0.4193645506237196 2 0
0.85 0.044986581655239055 0.421808646298215 2 0
0.855 0.04551536967983849 0.4242520828967864 2 0
0.86 0.04604721158627534 0.4266948566015646 2 0
0.865 0.04658210654354633 0.4291369635957161 2 0
0.87 0.04712005371587846 0.4315784000634494 2 0
0.875 0.04766105226272943 0.4340191621900203 2 0
0.88 0.04820510133878897 0.43645924616173865 2 0
0.885 0.048752200093980624 0.4388986481659736 2 0
0.89 0.04930234767346264 0.44133736439116017 2 0
0.895 0.04985554321762953 0.44377539102680463 2 0
0.9 0.05041178586211337 0.4462127242634909 2 0
0.905 0.05097107473778517 0.4486493602928863 2 0
0.91 0.0515334089707562 0.4510852953077475 2 0
0.915 0.0520987876823793 0.45352052550192656 2 0
0.92 0.05266720998925023 0.4559550470703768 2 0
0.925 0.053238675003209446 0.45838885620915876 2 0
0.93 0.05381318183134298 0.46082194911544616 2 0
0.935 0.05439072957598401 0.4632543219875318 2 0
0.9400000000000001 0.05497131733471394 0.4656859710248336 2 0
0.9450000000000001 0.05555494420036511 0.4681168924279004 2 0
0.9500000000000001 0.056141609261020076 0.470547082398418 2 0
0.9550000000000001 0.05673131160001543 0.47297653713921517 2 0
0.96 0.057324050295940676 0.47540525285426916 2 0
0.965 0.05791982442264243 0.47783322574871234 2 0
0.97 0.058518633049223334 0.48026045202883755 2 0
0.975 0.059120475240044934 0.48268692790210416 2 0
0.98 0.05972535005472923 0.4851126495771441 2 0
0.985 0.06033325654815935 0.48753761326376777 2 0
0.99 0.060944193770481325 0.48996181517296994 2 0
0.995 0.061558160767106296 0.4923852515169356 2 0
1.0 0.06217515657871053 0.4948079185090459 2 0
1.0050000000000001 0.06279518024123831 0.4972298123638842 2 0
1.01 0.06341823078590281 0.4996509292972418 2 0
1.0150000000000001 0.06404430723918786 0.5020712655261241 2 0
1.02 0.06467340862284887 0.5044908172687561 2 0
1.025 0.06530553395391525 0.5069095807445888 2 0
1.03 0.06594068224469107 0.5093275521743047 2 0
1.035 0.06657885250275752 0.5117447277798239 2 0
1.04 0.06722004373097357 0.5141611037843102 2 0
1.045 0.06786425492747794 0.5165766764121763 2 0
1.05 0.06851148508569116 0.5189914418890907 2 0
1.055 0.06916173319431573 0.5214053964419827 2 0
1.06 0.0698149982373395 0.5238185362990488 2 0
1.065 0.07047127919403562 0.5262308576897586 2 0
1.07 0.0711305750389657 0.5286423568448603 2 0
1.075 0.07179288474197976 0.5310530299963869 2 0
1.08 0.07245820726821894 0.5334628733776623 2 0
1.085 0.07312654157811727 0.5358718832233065 2 0
1.09 0.07379788662740228 0.5382800557692422 2 0
1.095 0.07447224136709774 0.5406873872527002 2 0
1.1 0.07514960474352406 0.5430938739122257 2 0
1.105 0.07582997569830141 0.5454995119876836 2 0
1.11 0.0765133531683504 0.5479042977202653 2 0
1.115 0.07719973608589359 0.550308227352493 2 0
1.12 0.07788912337845821 0.5527112971282275 2 0
1.125 0.07858151396887614 0.5551135032926726 2 0
1.1300000000000001 0.07927690677528787 0.5575148420923819 2 0
1.135 0.0799753007111419 0.5599153097752638 2 0
1.1400000000000001 0.08067669468519778 0.5623149025905881 2 0
1.145 0.08138108760152796 0.5647136167889915 2 0
1.1500000000000001 0.08208847835951816 0.5671114486224835 2 0
1.155 0.08279886585387097 0.5695083943444524 2 0
1.16 0.08351224897460563 0.5719044502096711 2 0
1.165 0.08422862660706154 0.5742996124743026 2 0
1.17 0.08494799763189853 0.5766938773959065 2 0
1.175 0.0856703609250995 0.5790872412334443 2 0
1.18 0.08639571535797219 0.5814797002472855 2 0
1.185 0.08712405979715032 0.5838712506992134 2 0
1.19 0.08785539310459578 0.5862618888524308 2 0
1.195 0.08858971413760042 0.5886516109715662 2 0
1.2 0.08932702174878804 0.5910404133226791 2 0
1.205 0.0900673147861153 0.5934282921732666 2 0
1.21 0.09081059209287456 0.5958152437922681 2 0
1.215 0.09155685250769552 0.5982012644500727 2 0
1.22 0.09230609486454577 0.600586350418523 2 0
1.225 0.09305831799273512 0.6029704979709232 2 0
1.23 0.0938135207169144 0.6053537033820429 2 0
1.235 0.09457170185707975 0.6077359629281242 2 0
1.24 0.09533286022857324 0.610117272886887 2 0
1.245 0.0960969946420851 0.6124976295375352 2 0
1.25 0.09686410390365552 0.6148770291607617 2 0
1.2550000000000001 0.09763418681467662 0.6172554680387554 2 0
1.26 0.09840724217189356 0.6196329424552057 2 0
1.2650000000000001 0.09918326876740768 0.6220094486953096 2 0
1.27 0.0999622653886778 0.6243849830457764 2 0
1.2750000000000001 0.10074423081852157 0.6267595417948343 2 0
1.28 0.10152916383511834 0.6291331212322355 2 0
1.285 0.10231706321201028 0.6315057176492629 2 0
1.29 0.10310792771810484 0.6338773273387349 2 0
1.295 0.10390175611767649 0.6362479465950119 2 0
1.3 0.10469854717036853 0.6386175717140019 2 0
1.305 0.10549829963119506 0.6409861989931659 2 0
1.31 0.10630101225054278 0.6433538247315245 2 0
1.315 0.10710668377417365 0.6457204452296627 2 0
1.32 0.10791531294322598 0.6480860567897367 2 0
1.325 0.1087268984942169 0.6504506557154788 2 0
1.33 0.10954143915904435 0.6528142383122036 2 0
1.335 0.11035893366498839 0.655176800886814 2 0
1.34 0.1111793807347139 0.6575383397478063 2 0
1.345 0.11200277908627299 0.6598988512052764 2 0
1.35 0.11282912743310547 0.6622583315709258 2 0
1.355 0.11365842448404262 0.6646167771580668 2 0
1.36 0.11449066894330762 0.6669741842816288 2 0
1.365 0.11532585951051866 0.6693305492581635 2 0
1.37 0.11616399488069096 0.6716858684058512 2 0
1.375 0.11700507374423785 0.6740401380445061 2 0
1.3800000000000001 0.11784909478697392 0.6763933544955826 2 0
1.385 0.11869605669011651 0.6787455140821802 2 0
1.3900000000000001 0.11954595813028779 0.6810966131290501 2 0
1.395 0.1203987977795169 0.6834466479626006 2 0
1.4000000000000001 0.12125457430524222 0.6857956149109028 2 0
1.405 0.12211328637031271 0.688143510303696 2 0
1.41 0.12297493263299142 0.6904903304723945 2 0
1.415 0.12383951174695573 0.6928360717500921 2 0
1.42 0.12470702236130138 0.6951807304715686 2 0
1.425 0.12557746312054308 0.6975243029732952 2 0
1.43 0.12645083266461743 0.6998667855934401 2 0
1.435 0.12732712962888426 0.7022081746718751 2 0
1.44 0.12820635264413038 0.7045484665501799 2 0
1.445 0.12908850033656938 0.7068876575716492 2 0
1.45 0.12997357132784604 0.7092257440812972 2 0
1.455 0.13086156423503725 0.7115627224258646 2 0
1.46 0.1317524776706538 0.7138985889538227 2 0
1.465 0.13264631024264406 0.7162333400153811 2 0
1.47 0.13354306055439458 0.7185669719624912 2 0
1.475 0.13444272720473327 0.7208994811488539 2 0
1.48 0.13534530878793105 0.723230863929924 2 0
1.485 0.1362508038937047 0.7255611166629163 2 0
1.49 0.13715921110721796 0.7278902357068114 2 0
1.495 0.1380705290090849 0.7302182174223614 2 0
1.5 0.13898475617537143 0.7325450581720951 2 0
1.5050000000000001 0.13990189117759777 0.7348707543203246 2 0
1.51 0.1408219325827409 0.7371953022331499 2 0
1.5150000000000001 0.14174487895323584 0.7395186982784655 2 0
1.52 0.1426707288469795 0.7418409388259654 2 0
1.5250000000000001 0.14359948081733154 0.7441620202471494 2 0
1.53 0.14453113341311696 0.746481938915328 2 0
1.5350000000000001 0.1454656851786289 0.7488006912056291 2 0
1.54 0.14640313465363053 0.7511182734950025 2 0
1.545 0.1473434803733571 0.7534346821622262 2 0
1.55 0.1482867208685188 0.7557499135879125 2 0
1.555 0.14923285466530234 0.7580639641545126 2 0
1.56 0.15018188028537383 0.7603768302463229 2 0
1.565 0.1511337962458812 0.7626885082494905 2 0
1.57 0.15208860105945576 0.7649989945520194 2 0
1.575 0.15304629323421515 0.7673082855437747 2 0
1.58 0.15400687127376544 0.76961637761649 2 0
1.585 0.15497033367720392 0.7719232671637719 2 0
1.59 0.15593667893912078 0.774228950581106 2 0
1.595 0.1569059055496016 0.7765334242658621 2 0
1.6 0.1578780119942298 0.778836684617301 2 0
1.605 0.1588529967540897 0.7811387280365785 2 0
1.61 0.1598308583057675 0.7834395509267524 2 0
1.615 0.16081159512135468 0.7857391496927875 2 0
1.62 0.16179520566845063 0.7880375207415609 2 0
1.625 0.16278168841016338 0.7903346604818685 2 0
1.6300000000000001 0.1637710418051146 0.7926305653244299 2 0
1.635 0.16476326430743904 0.7949252316818942 2 0
1.6400000000000001 0.16575835436678976 0.7972186559688459 2 0
1.645 0.16675631042833872 0.7995108346018096 2 0
1.6500000000000001 0.16775713093277944 0.8018017639992571 2 0
1.655 0.1687608143163304 0.8040914405816113 2 0
1.6600000000000001 0.16976735901073647 0.8063798607712533 2 0
1.665 0.17077676344327175 0.8086670209925269 2 0
1.67 0.17178902603674184 0.8109529176717446 2 0
1.675 0.17280414520948706 0.8132375472371935 2 0
1.68 0.1738221193753835 0.8155209061191403 2 0
1.685 0.17484294694384683 0.8178029907498373 2 0
1.69 0.1758666263198343 0.8200837975635276 2 0
1.695 0.1768931559038469 0.822363322996451 2 0
1.7 0.1779225340919326 0.8246415634868495 2 0
1.705 0.17895475927568816 0.826918515474973 2 0
1.71 0.17998982984226175 0.829194175403084 2 0
1.715 0.18102774417435596 0.8314685397154649 2 0
1.72 0.18206850065022984 0.8337416048584215 2 0
1.725 0.1831120976437015 0.8360133672802903 2 0
1.73 0.1841585335241509 0.8382838234314426 2 0
1.735 0.18520780665652237 0.8405529697642915 2 0
1.74 0.1862599154013267 0.8428208027332961 2 0
1.745 0.1873148581146442 0.8450873187949679 2 0
1.75 0.18837263314812724 0.8473525144078761 2 0
1.7550000000000001 0.18943323884900232 0.8496163860326528 2 0
1.76 0.19049667356007327 0.8518789301319992 2 0
1.7650000000000001 0.19156293561972348 0.8541401431706906 2 0
1.77 0.1926320233619192 0.8564000216155822 2 0
1.7750000000000001 0.19370393511621042 0.8586585619356141 2 0
1.78 0.1947786692077358 0.8609157606018177 2 0
1.7850000000000001 0.19585622395722302 0.8631716140873206 2 0
1.79 0.19693659768099336 0.865426118867352 2 0
1.795 0.19801978869096293 0.8676792714192487 2 0
1.8 0.19910579529464623 0.8699310682224605 2 0
1.805 0.20019461579515774 0.872181505758555 2 0
1.81 0.20128624849121612 0.8744305805112244 2 0
1.815 0.20238069167714512 0.8766782889662894 2 0
1.82 0.20347794364287775 0.8789246276117065 2 0
1.825 0.20457800267395787 0.8811695929375717 2 0
1.83 0.20568086705154354 0.8834131814361271 2 0
1.835 0.2067865350524094 0.8856553896017664 2 0
1.84 0.20789500494894964 0.8878962139310396 2 0
1.845 0.20900627500917968 0.890135650922659 2 0
1.85 0.2101203434967409 0.8923736970775051 2 0
1.855 0.21123720867090112 0.8946103488986311 2 0
1.86 0.2123568687865589 0.8968456028912689 2 0
1.865 0.21347932209424547 0.8990794555628346 2 0
1.87 0.21460456684012774 0.901311903422934 2 0
1.875 0.21573260126601124 0.9035429429833676 2 0
1.8800000000000001 0.21686342360934208 0.9057725707581367 2 0
1.885 0.21799703210321097 0.9080007832634481 2 0
1.8900000000000001 0.21913342497635457 0.9102275770177205 2 0
1.895 0.22027260045315922 0.912452948541589 2 0
1.9000000000000001 0.22141455675366362 0.914676894357911 2 0
1.905 0.2225592920935613 0.9168994109917716 2 0
1.9100000000000001 0.22370680468420345 0.9191204949704892 2 0
1.915 0.22485709273260168 0.9213401428236203 2 0
1.92 0.2260101544414317 0.9235583510829658 2 0
1.925 0.2271659880090342 0.9257751162825756 2 0
1.93 0.22832459162941987 0.9279904349587544 2 0
1.935 0.2294859634922708 0.9302043036500676 2 0
1.94 0.23065010178294343 0.9324167188973455 2 0
1.945 0.23181700468247213 0.9346276772436898 2 0
1.95 0.23298667036757115 0.9368371752344785 2 0
1.955 0.2341590970106382 0.9390452094173717 2 0
1.96 0.2353342827797571 0.941251776342316 2 0
1.965 0.23651222583870002 0.9434568725615515 2 0
1.97 0.23769292434693123 0.9456604946296154 2 0
1.975 0.23887637645960957 0.9478626391033489 2 0
1.98 0.24006258032759153 0.9500633025419016 2 0
1.985 0.24125153409743372 0.9522624815067374 2 0
